"S0101_C01_001E","S1901_C01_012E","S2801_C02_011E","S2301_C04_001E","S0801_C01_046E","state","county"
26201,33368,26.6,12.4,23.4,"01","005"
22580,43404,25.2,8.2,30,"01","007"
10478,29655,35.8,12.1,29.8,"01","011"
115527,43686,17.1,10.1,24.8,"01","015"
33895,37342,27.3,6.4,23.6,"01","017"
24625,33827,41.3,15.2,23.9,"01","025"
16657,36541,26.2,8.4,27.9,"01","057"
227120,46545,15.6,7.6,20.3,"01","101"
94738,41104,20.2,6.5,23.9,"01","095"
57667,47412,21.8,4.9,35,"01","009"
17110,45569,22.1,6.7,25.6,"01","067"
353213,61318,10.5,6.5,21.3,"01","089"
55036,55317,13.8,5.2,25.8,"01","001"
40756,42181,22.7,9.2,25.2,"01","123"
26572,39293,21,8.9,27.2,"01","061"
10919,27012,39.6,17.2,25,"01","131"
23968,35362,27.5,9.4,27.8,"01","133"
203360,52562,13.1,5.5,27,"01","003"
81703,40997,21.1,5.8,26.5,"01","043"
80989,54981,13.3,7.3,28,"01","051"
104108,42803,21.8,7.6,21.3,"01","069"
52326,39281,25,7.7,25.7,"01","071"
80888,39219,21.5,10,24.8,"01","121"
204424,50513,15.8,6.7,22.3,"01","125"
16746,42185,25.6,11,35.2,"01","129"
13407,37287,22.9,6.4,30.3,"01","027"
51073,49821,15.9,6,21.7,"01","031"
119157,47529,17.2,6.5,24.1,"01","103"
33287,35684,28.3,8.7,20.4,"01","109"
43805,43501,26.2,6.7,32.5,"01","021"
54435,45477,19.7,6.9,23.1,"01","033"
10955,34792,30.1,11.3,29.8,"01","037"
49393,44711,18.7,10.4,20.7,"01","045"
14995,34679,35.7,11.7,29.9,"01","065"
103132,42064,19.3,7.6,24,"01","055"
71194,38842,24.7,5.1,23.2,"01","049"
37621,35026,36.6,13.7,22.6,"01","053"
14021,36016,26.7,7.9,28.1,"01","075"
22530,39485,23.2,5.8,26.3,"01","111"
20126,36326,31.7,7.6,23.2,"01","013"
414328,45802,20,7.5,24.8,"01","097"
9680,22973,45.5,11.8,26.1,"01","105"
64927,38872,23,10,29.2,"01","127"
14939,37396,26.1,7.8,33.2,"01","029"
12649,30434,48.5,14.5,29.6,"01","035"
8533,20954,44.2,14.8,29.7,"01","063"
30058,35719,23.8,5.5,23.2,"01","093"
20170,36220,29,12.2,29.5,"01","107"
13084,21663,35.2,13.4,26.1,"01","119"
659460,49321,15.6,7.7,23.8,"01","073"
13188,32122,29.6,9.8,32.7,"01","023"
31507,39501,25.8,8.2,28.4,"01","059"
19743,32255,33.1,12.8,25.5,"01","091"
58480,38988,19.8,9.7,24.1,"01","113"
25855,40041,20.6,5.3,26.5,"01","019"
37519,39467,25.9,10.7,25.2,"01","039"
13866,38937,29.5,6.4,28.6,"01","041"
40755,30065,30.8,13.7,22.1,"01","047"
92590,44888,21.2,6.6,24.1,"01","077"
10362,29785,35.9,11.2,30.3,"01","085"
19358,32308,29.5,14.5,22.5,"01","087"
91695,52831,17.2,7.1,25.7,"01","083"
208721,74063,7.6,4.3,28,"01","117"
86937,53483,15.2,5.8,29.7,"01","115"
21745,26036,50.2,21.6,24.7,"01","099"
33288,43779,25.4,7.2,28,"01","079"
156597,47564,11.7,5.7,22.2,"01","081"
2303,83295,5,1.9,16.1,"02","068"
9439,86019,7.7,7.5,11,"02","261"
57961,65279,10.6,8.6,20,"02","122"
6889,63866,11.3,12.5,13.4,"02","240"
5453,37819,34.9,19.7,8.4,"02","290"
298225,82271,5.4,5.8,18.9,"02","020"
3338,66607,14.7,2.4,5.1,"02","013"
3275,63490,9.9,4.8,7.7,"02","195"
8129,36468,23.5,28.8,6.6,"02","158"
2146,57900,16.5,11.7,9.7,"02","105"
1038,70673,3.8,7.9,6.1,"02","230"
6473,52114,13.9,13.5,16,"02","198"
2475,56094,15.5,7,9.4,"02","275"
5784,85192,8.2,1.9,7.8,"02","016"
917,79500,8.7,6.8,9.4,"02","060"
13773,74167,10,5.3,10.5,"02","150"
7715,61533,20.1,20.1,6.5,"02","188"
17957,53853,18,19.3,7.4,"02","050"
9757,77266,15.6,9.5,6.1,"02","185"
8810,70765,7.9,5,10.4,"02","220"
100031,76250,6.2,8,18.9,"02","090"
13745,67321,8.8,7,13.4,"02","130"
101135,74887,6.6,9.8,34.5,"02","170"
9869,53821,14.5,16.6,7,"02","180"
4974,58708,18.4,11.4,8.6,"02","070"
2537,70640,6.5,2.7,7.1,"02","100"
682,64583,11,6.5,6.5,"02","282"
32434,90749,5.5,4.8,15.6,"02","110"
1301,45208,17.2,13.2,6.7,"02","164"
1007257,48676,10.5,8.4,24.5,"04","019"
4155501,58580,10.2,6,25.8,"04","013"
53145,41179,20.9,11.7,18.7,"04","007"
37700,48173,16.1,12.2,20.9,"04","009"
46358,39630,20.2,8.7,23.5,"04","023"
126516,47847,14.6,7.6,20.5,"04","003"
20477,36479,26.3,9.5,12.9,"04","012"
204691,41567,15.2,10.1,20.4,"04","015"
71602,32360,45.2,14.1,26.7,"04","001"
138639,53523,12.5,8.3,18.4,"04","005"
220972,48259,11.6,7.3,23.2,"04","025"
204281,43253,19,10.9,19.6,"04","027"
9368,56298,11.8,7.6,17.8,"04","011"
107902,38798,26.6,16.3,21.6,"04","017"
405537,52628,13.6,7.8,31,"04","021"
49278,38558,22,8.4,19.9,"05","035"
17803,39472,28,6.6,26.8,"05","047"
223683,47452,10.2,4.9,21.5,"05","143"
16751,34428,23.3,8.3,27.9,"05","141"
40022,41106,28.6,8.3,19,"05","139"
6763,30097,38.9,10.1,18.1,"05","147"
37212,40727,17.8,6.1,19.4,"05","009"
13521,39135,18.2,9.6,20.5,"05","065"
25361,42312,20.7,5.5,26.1,"05","023"
8332,44840,21.4,6.6,29.6,"05","025"
37097,39945,19.6,6,18.9,"05","063"
17429,32783,29.4,7,19.1,"05","067"
22154,38701,26.7,6.4,19.9,"05","057"
17041,31792,23.7,6.7,25,"05","135"
13885,38873,27.2,8.1,25.1,"05","079"
21802,37982,20.7,8.1,25.6,"05","083"
12443,33091,24.9,8.3,23.3,"05","137"
18076,49968,13,8.7,29.7,"05","053"
18352,38532,20.8,8.5,14.6,"05","001"
12494,36963,21.7,10.3,24.8,"05","081"
17164,41081,26.8,6.8,23.9,"05","037"
7585,35794,27.6,6.4,27.5,"05","039"
116252,58985,12.3,4.3,26.1,"05","125"
121282,50316,11.9,5.1,24,"05","045"
41093,40072,18.7,5.8,16.4,"05","005"
20771,36407,24.5,9.9,20.4,"05","003"
10893,36893,25.3,5.1,27.7,"05","109"
71373,37630,21,10,20.9,"05","069"
104246,45672,12.4,6,18.5,"05","031"
251823,61271,9.7,3.1,19.9,"05","007"
16777,37603,25.4,8.2,26.1,"05","075"
44197,45566,15.5,7,20.3,"05","055"
16374,36113,19.4,7.7,22.1,"05","089"
9059,35252,28.3,4.4,30,"05","097"
7051,32500,35.9,8.3,25.1,"05","073"
10320,46168,20.7,6.5,33.3,"05","105"
19518,26652,31.3,15.7,18.2,"05","107"
10584,37396,27.1,10.6,19.7,"05","127"
7925,36716,27.2,3.6,28.9,"05","129"
24098,37487,23.3,5.4,24,"05","111"
17206,43675,22.7,6.6,25.8,"05","133"
7420,31584,33.1,9.1,22,"05","095"
26688,33102,31.8,10,19.7,"05","123"
11008,32412,29,10.1,21.8,"05","017"
33480,40626,19.1,6.2,26.1,"05","059"
20212,33870,22.7,8.5,23,"05","113"
20954,39638,25.8,7.1,25.8,"05","029"
392848,48850,15.8,5.9,20.3,"05","119"
78706,44074,17.1,6.2,24,"05","145"
13472,34851,23,5.7,20.2,"05","061"
97994,41672,15.7,9,21.9,"05","051"
43534,36417,22.1,11.6,17.8,"05","093"
71568,57290,14.2,4.8,27.3,"05","085"
21601,39696,27.1,6.3,20.8,"05","149"
127362,40932,19.5,5.6,19,"05","131"
62119,43504,18.2,6.2,22.4,"05","033"
26155,35758,24.6,4.7,20.5,"05","071"
9614,27901,33.1,15.3,20.8,"05","077"
15907,42894,25.4,4.5,31.7,"05","087"
24378,32136,33.7,8.3,22.2,"05","103"
7898,38134,28.2,4,30.5,"05","101"
8528,36995,36.3,4.8,29.9,"05","099"
15190,32219,26.7,5.3,23.3,"05","021"
12094,27036,26.9,12.2,19.3,"05","041"
27782,39686,19.6,5.1,19.8,"05","015"
18620,36092,21.7,9,21.7,"05","043"
23992,37072,27.2,9.5,17.3,"05","027"
17514,35930,25.6,3.5,28.6,"05","121"
63372,40668,16.8,7.3,18.5,"05","115"
8309,41244,27.5,7.6,26.8,"05","117"
43760,41862,17.2,8,18.4,"05","091"
5194,37225,26.7,5.7,24.4,"05","013"
22495,37144,23.4,4.5,21.3,"05","019"
10994,36310,27.6,9.4,22,"05","011"
12092,36051,18.3,6.9,23.3,"05","049"
724153,57813,13.6,10.1,32,"06","077"
37306,60636,13.2,9.3,32,"06","005"
267390,46338,13.2,14.6,27,"06","047"
64095,40446,18.7,11.2,28.9,"06","033"
17658,51385,17.1,10,30.9,"06","043"
9017,39296,24.6,7.5,15.2,"06","049"
