"population","median_income","state","county"
26201,33368,"01","005"
22580,43404,"01","007"
10478,29655,"01","011"
115527,43686,"01","015"
33895,37342,"01","017"
24625,33827,"01","025"
16657,36541,"01","057"
227120,46545,"01","101"
94738,41104,"01","095"
57667,47412,"01","009"
17110,45569,"01","067"
353213,61318,"01","089"
55036,55317,"01","001"
40756,42181,"01","123"
26572,39293,"01","061"
10919,27012,"01","131"
23968,35362,"01","133"
203360,52562,"01","003"
81703,40997,"01","043"
80989,54981,"01","051"
104108,42803,"01","069"
52326,39281,"01","071"
80888,39219,"01","121"
204424,50513,"01","125"
16746,42185,"01","129"
13407,37287,"01","027"
51073,49821,"01","031"
119157,47529,"01","103"
33287,35684,"01","109"
43805,43501,"01","021"
54435,45477,"01","033"
10955,34792,"01","037"
49393,44711,"01","045"
14995,34679,"01","065"
103132,42064,"01","055"
71194,38842,"01","049"
37621,35026,"01","053"
14021,36016,"01","075"
22530,39485,"01","111"
20126,36326,"01","013"
414328,45802,"01","097"
9680,22973,"01","105"
64927,38872,"01","127"
14939,37396,"01","029"
12649,30434,"01","035"
8533,20954,"01","063"
30058,35719,"01","093"
20170,36220,"01","107"
13084,21663,"01","119"
659460,49321,"01","073"
13188,32122,"01","023"
31507,39501,"01","059"
19743,32255,"01","091"
58480,38988,"01","113"
25855,40041,"01","019"
37519,39467,"01","039"
13866,38937,"01","041"
40755,30065,"01","047"
92590,44888,"01","077"
10362,29785,"01","085"
19358,32308,"01","087"
91695,52831,"01","083"
208721,74063,"01","117"
86937,53483,"01","115"
21745,26036,"01","099"
33288,43779,"01","079"
156597,47564,"01","081"
2303,83295,"02","068"
9439,86019,"02","261"
57961,65279,"02","122"
6889,63866,"02","240"
5453,37819,"02","290"
298225,82271,"02","020"
3338,66607,"02","013"
3275,63490,"02","195"
8129,36468,"02","158"
2146,57900,"02","105"
1038,70673,"02","230"
6473,52114,"02","198"
2475,56094,"02","275"
5784,85192,"02","016"
917,79500,"02","060"
13773,74167,"02","150"
7715,61533,"02","188"
17957,53853,"02","050"
9757,77266,"02","185"
8810,70765,"02","220"
100031,76250,"02","090"
13745,67321,"02","130"
101135,74887,"02","170"
9869,53821,"02","180"
4974,58708,"02","070"
2537,70640,"02","100"
682,64583,"02","282"
32434,90749,"02","110"
1301,45208,"02","164"
1007257,48676,"04","019"
4155501,58580,"04","013"
53145,41179,"04","007"
37700,48173,"04","009"
46358,39630,"04","023"
126516,47847,"04","003"
20477,36479,"04","012"
204691,41567,"04","015"
71602,32360,"04","001"
138639,53523,"04","005"
220972,48259,"04","025"
204281,43253,"04","027"
9368,56298,"04","011"
107902,38798,"04","017"
405537,52628,"04","021"
49278,38558,"05","035"
17803,39472,"05","047"
223683,47452,"05","143"
16751,34428,"05","141"
40022,41106,"05","139"
6763,30097,"05","147"
37212,40727,"05","009"
13521,39135,"05","065"
25361,42312,"05","023"
8332,44840,"05","025"
37097,39945,"05","063"
17429,32783,"05","067"
22154,38701,"05","057"
17041,31792,"05","135"
13885,38873,"05","079"
21802,37982,"05","083"
12443,33091,"05","137"
18076,49968,"05","053"
18352,38532,"05","001"
12494,36963,"05","081"
17164,41081,"05","037"
7585,35794,"05","039"
116252,58985,"05","125"
121282,50316,"05","045"
41093,40072,"05","005"
20771,36407,"05","003"
10893,36893,"05","109"
71373,37630,"05","069"
104246,45672,"05","031"
251823,61271,"05","007"
16777,37603,"05","075"
44197,45566,"05","055"
16374,36113,"05","089"
9059,35252,"05","097"
7051,32500,"05","073"
10320,46168,"05","105"
19518,26652,"05","107"
10584,37396,"05","127"
7925,36716,"05","129"
24098,37487,"05","111"
17206,43675,"05","133"
7420,31584,"05","095"
26688,33102,"05","123"
11008,32412,"05","017"
33480,40626,"05","059"
20212,33870,"05","113"
20954,39638,"05","029"
392848,48850,"05","119"
78706,44074,"05","145"
13472,34851,"05","061"
97994,41672,"05","051"
43534,36417,"05","093"
71568,57290,"05","085"
21601,39696,"05","149"
127362,40932,"05","131"
62119,43504,"05","033"
26155,35758,"05","071"
9614,27901,"05","077"
15907,42894,"05","087"
24378,32136,"05","103"
7898,38134,"05","101"
8528,36995,"05","099"
15190,32219,"05","021"
12094,27036,"05","041"
27782,39686,"05","015"
18620,36092,"05","043"
23992,37072,"05","027"
17514,35930,"05","121"
63372,40668,"05","115"
8309,41244,"05","117"
43760,41862,"05","091"
5194,37225,"05","013"
22495,37144,"05","019"
10994,36310,"05","011"
12092,36051,"05","049"
724153,57813,"06","077"
37306,60636,"06","005"
267390,46338,"06","047"
64095,40446,"06","033"
17658,51385,"06","043"
9017,39296,"06","049"
74644,51776,"06","115"
1123678,88456,"06","013"
18195,51500,"06","027"
31470,54083,"06","035"
535684,54260,"06","099"
442996,68023,"06","083"
178919,47258,"06","089"
434981,72950,"06","095"
27442,41287,"06","015"
21479,56481,"06","011"
27935,46260,"06","021"
225207,46516,"06","007"
150183,49742,"06","031"
18724,50266,"06","063"
280119,67175,"06","079"
971616,48730,"06","019"
878744,50826,"06","029"
3155816,81851,"06","059"
847834,81972,"06","111"
45057,54800,"06","009"
95583,54347,"06","101"
763450,105667,"06","081"
53899,54325,"06","109"
500943,71769,"06","097"
63247,42512,"06","103"
179957,44779,"06","025"
14058,60595,"06","051"
58671,80760,"06","069"
1629615,85743,"06","001"
1495400,60239,"06","067"
185015,74885,"06","017"
141005,79637,"06","055"
433168,63249,"06","053"
864263,96265,"06","075"
2885,44190,"06","091"
3283665,70588,"06","073"
458809,44871,"06","107"
212605,61621,"06","113"
135490,43718,"06","023"
98838,60610,"06","057"
1203,63438,"06","003"
154440,48210,"06","039"
87497,46528,"06","045"
273263,73663,"06","087"
13037,36563,"06","105"
10105722,61015,"06","037"
2355002,60807,"06","065"
2121220,57156,"06","071"
1911226,106761,"06","085"
260814,104703,"06","041"
374985,80488,"06","061"
43530,40884,"06","093"
14151,40586,"08","071"
10109,44668,"08","125"
5520,44725,"08","073"
24359,67472,"08","107"
29722,73538,"08","117"
16345,36315,"08","003"
9257,68534,"08","019"
30217,42487,"08","029"
46601,44712,"08","043"
163368,42386,"08","101"
40908,44865,"08","085"
28123,51456,"08","087"
16900,61644,"08","093"
6338,34765,"08","109"
148798,51971,"08","077"
12084,41740,"08","099"
820,53056,"08","053"
674826,62535,"08","041"
4809,51458,"08","121"
14793,66489,"08","049"
626612,69553,"08","005"
18325,35051,"08","089"
64283,85639,"08","014"
4653,61333,"08","091"
6557,57991,"08","103"
2357,49583,"08","115"
285729,66489,"08","123"
8147,35657,"08","021"
4505,41330,"08","027"
3628,29000,"08","023"
487850,64087,"08","001"
320940,111154,"08","035"
53726,83803,"08","037"
7481,46176,"08","065"
54469,62533,"08","067"
13056,53010,"08","081"
17747,67755,"08","097"
11430,38534,"08","105"
2127,54907,"08","017"
5806,32500,"08","011"
5514,35292,"08","025"
1736,40352,"08","033"
569,46397,"08","111"
1372,45994,"08","057"
330976,64980,"08","069"
21885,44876,"08","075"
25770,45645,"08","083"
7804,62243,"08","113"
23769,66809,"08","119"
316782,75669,"08","013"
24553,92849,"08","039"
4327,50076,"08","095"
12592,48016,"08","007"
678467,60098,"08","031"
1368,39250,"08","061"
6498,35801,"08","055"
3581,35898,"08","009"
18818,53762,"08","015"
5793,72544,"08","047"
7846,45881,"08","063"
57945,66503,"08","045"
16215,52651,"08","051"
564029,75170,"08","059"
834,50385,"08","079"
862127,64872,"09","009"
184454,76438,"09","005"
897417,69936,"09","003"
116674,62553,"09","015"
270772,69411,"09","011"
164110,81673,"09","007"
151596,81312,"09","013"
947328,89773,"09","001"
672391,77649,"11","001"
555036,68336,"10","003"
215551,57901,"10","005"
173145,57647,"10","001"
17191,42934,"12","041"
100177,36374,"12","055"
43814,40600,"12","121"
259865,45478,"12","001"
35675,35435,"12","027"
14458,36237,"12","013"
173236,46511,"12","015"
68484,43504,"12","023"
16323,35910,"12","029"
155719,55588,"12","085"
72435,33619,"12","107"
404839,55236,"12","115"
15300,37460,"12","125"
24472,36989,"12","133"
912043,51296,"12","031"
26775,46106,"12","007"
568183,51536,"12","009"
203291,61971,"12","019"
8684,41512,"12","067"
326215,49734,"12","069"
78435,64294,"12","089"
949842,48968,"12","103"
652256,45988,"12","105"
298763,47132,"12","111"
13197,37385,"12","043"
39064,37966,"12","051"
147981,49009,"12","061"
48571,36944,"12","063"
1426772,57256,"12","099"
226578,73640,"12","109"
449260,60739,"12","117"
2702602,46338,"12","086"
363542,53408,"12","081"
141373,40574,"12","017"
39713,36554,"12","075"
27537,59506,"12","003"
166778,62731,"12","113"
518660,43838,"12","127"
285890,49941,"12","073"
1890416,54895,"12","011"
18518,31816,"12","079"
76745,63030,"12","087"
309924,47361,"12","033"
179144,44324,"12","053"
1351087,53742,"12","057"
197591,59955,"12","091"
22350,37188,"12","123"
31586,57866,"12","129"
180117,50283,"12","005"
105015,51049,"12","035"
11675,41267,"12","037"
16018,44647,"12","045"
14238,36209,"12","047"
8347,36741,"12","077"
325168,47343,"12","097"
116754,54771,"12","119"
63457,50619,"12","131"
46113,39830,"12","039"
19483,37474,"12","059"
14085,47599,"12","065"
700165,52052,"12","071"
343778,41964,"12","083"
27326,39063,"12","049"
356774,62407,"12","021"
40228,39059,"12","093"
1290216,51586,"12","095"
498136,48289,"12","101"
11279,38824,"13","005"
18411,36812,"13","025"
211300,96445,"13","117"
43878,44474,"13","137"
25535,41216,"13","147"
113941,39911,"13","185"
14061,43285,"13","191"
21152,36368,"13","199"
26795,50666,"13","207"
21430,48340,"13","237"
30687,34219,"13","261"
