S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
26.6,5,58.6,1,9191,9191,12.0,41.8,26201,0
25.2,7,62.3,1,6916,6916,13.2,44.4,22580,0
35.8,11,50.4,1,3670,3670,13.4,50.4,10478,0
17.1,15,71.5,1,45099,45099,17.9,50.9,115527,-1
27.3,17,63.5,1,13694,13694,13.3,52.9,33895,0
41.3,25,48.3,1,9602,9602,13.0,39.9,24625,0
26.2,57,64.3,1,6955,6955,14.6,46.6,16657,0
15.6,101,75.9,1,89776,89776,32.3,56.2,227120,-1
20.2,95,70.7,1,34588,34588,17.7,52.0,94738,-1
21.8,9,67.1,1,20690,20690,13.1,46.6,57667,-1
22.1,67,69.9,1,6727,6727,17.1,49.7,17110,-1
10.5,89,81.8,1,142253,142253,40.6,59.9,353213,-1
13.8,1,76.9,1,21054,21054,25.0,56.1,55036,-1
22.7,123,68.2,1,16369,16369,18.2,46.4,40756,-1
21.0,61,66.2,1,10693,10693,11.1,48.1,26572,0
39.6,131,45.6,1,3841,3841,12.0,33.9,10919,0
27.5,133,57.7,1,9439,9439,12.9,45.5,23968,0
13.1,3,75.3,1,76133,76133,30.7,54.7,203360,-1
21.1,43,66.5,1,31097,31097,14.9,49.0,81703,-1
13.3,51,78.6,1,29115,29115,22.8,50.9,80989,-1
21.8,69,69.3,1,39560,39560,20.9,53.5,104108,-1
25.0,71,63.4,1,20368,20368,13.4,47.7,52326,0
21.5,121,66.3,1,31651,31651,13.6,47.4,80888,-1
15.8,125,75.9,1,71507,71507,30.2,54.8,204424,-1
25.6,129,54.1,1,6001,6001,10.7,42.1,16746,0
22.9,27,66.3,1,5338,5338,10.3,50.6,13407,0
15.9,31,76.0,1,19620,19620,22.7,53.5,51073,-1
17.2,103,71.2,1,45904,45904,20.9,53.3,119157,-1
28.3,109,62.2,1,12284,12284,24.7,52.2,33287,-1
26.2,21,57.6,1,16768,16768,15.1,51.2,43805,0
19.7,33,66.7,1,21983,21983,18.8,50.1,54435,-1
30.1,37,58.9,1,4204,4204,11.0,41.9,10955,0
18.7,45,70.6,1,18825,18825,16.8,45.9,49393,-1
35.7,65,51.1,1,5664,5664,14.4,43.8,14995,0
19.3,55,69.1,1,39061,39061,16.9,49.7,103132,-1
24.7,49,61.8,1,25482,25482,13.0,51.0,71194,-1
36.6,53,55.8,1,13226,13226,12.1,40.2,37621,0
26.7,75,59.4,1,6019,6019,13.3,47.7,14021,0
23.2,111,66.7,1,8867,8867,14.6,47.3,22530,0
31.7,13,59.6,1,7050,7050,16.1,48.1,20126,0
20.0,97,69.9,1,153794,153794,23.0,53.0,414328,-1
45.5,105,41.1,1,3039,3039,16.9,31.8,9680,0
23.0,127,63.6,1,25143,25143,11.1,46.6,64927,-1
26.1,29,58.9,1,5773,5773,12.4,48.5,14939,0
48.5,35,41.3,1,4716,4716,8.8,39.0,12649,0
44.2,63,43.3,1,3025,3025,11.4,36.1,8533,0
23.8,93,66.3,1,12453,12453,13.4,48.8,30058,0
29.0,107,62.0,1,7620,7620,11.8,41.7,20170,0
35.2,119,51.7,1,5073,5073,18.2,40.4,13084,0
15.6,73,73.4,1,261390,261390,31.9,57.4,659460,-1
29.6,23,53.4,1,5463,5463,11.6,39.6,13188,0
25.8,59,61.4,1,11533,11533,13.4,51.0,31507,0
33.1,91,52.8,1,7975,7975,15.4,42.0,19743,0
19.8,113,63.9,1,22690,22690,16.9,50.5,58480,-1
